open;high;low;close;Volume;Volume MA;manipulated
13900;14200;13700;13900;20966600;21492090;0
14300;14850;14100;14850;42262100;22241915;0
15000;15400;14150;14450;36676600;23564240;0
14400;14900;14250;14600;20553700;23834795;0
14600;15600;14600;15600;33442100;24549055;0
16000;16650;15050;16500;45054400;26335805;0
16200;16850;15350;15500;48633600;28052775;0
15150;15500;14500;14700;24951600;28115970;0
15000;15400;14700;14800;22946000;28608225;0
14900;15700;14600;15700;35333400;29669555;0
15850;15900;15150;15150;18196200;29362180;0
14500;15300;14500;15050;25448200;29347850;0
15200;15350;14600;14650;30508000;29473400;0
14600;15650;14450;15500;24607200;29177250;1
15500;15900;15000;15000;20715800;29564415;1
15100;15200;14450;14600;23191600;29750445;1
14950;15150;13900;14550;23161200;28691035;1
14850;14900;14400;14700;12708000;28289140;1
14750;15450;14750;14900;17496100;28279380;1
14900;15500;14800;15300;16000900;27142665;1
15300;15450;14900;15000;16603700;26924520;1
15100;16050;15000;16050;31557300;26389280;1
16300;16600;15800;15800;21203800;25615640;1
15850;16450;15650;16300;23080600;25741985;1
16550;17400;16500;17400;35544300;25847095;1
17900;18550;17000;17000;36034600;25396105;1
16800;18000;16600;17950;26349000;24281875;1
18050;18400;17500;18000;17408400;23904715;1
18000;18800;17800;18550;26938500;24104340;1
18700;18700;17300;17500;33777100;24026525;1
17650;17850;16400;17550;28453600;24539395;1
17800;18400;17450;18300;21716700;24352820;1
18400;19150;18250;19000;26314900;24143165;1
19000;19100;18200;18400;18879700;23856790;1
18650;19150;18400;18650;26287600;24135380;1
18700;18950;17850;18000;25541800;24252890;1
18500;19050;18200;18700;19398900;24064775;1
18850;20000;18650;20000;40927600;25475755;1
20150;21400;19950;21100;40663200;26634110;1
21100;22550;20950;22550;31696300;27418880;1
23600;24100;21000;21150;135460900;33361740;1
19700;21700;19700;19900;154941200;39530935;0
18550;18550;18550;18550;2531600;38597325;0
17300;17300;17300;17300;1326300;37509610;0
16100;16100;16100;16100;560200;35760405;0
15000;15000;15000;15000;963900;34006870;0
13950;13950;13950;13950;440400;32711440;0
13000;13000;13000;13000;1374600;31909750;0
12100;12200;12100;12100;42901500;32707900;0
11300;12900;11300;12900;62434400;34140765;0
13400;13600;12000;12000;26869500;34061560;0
11300;11800;11200;11200;25748000;34263125;0
11300;11500;10450;10750;45267900;35210775;0
10800;11150;10200;10400;17762600;35154920;0
10500;11100;10050;11100;23105600;34995820;0
11450;11850;11250;11850;25436100;34990535;0
12000;12400;11600;12000;29086400;35474910;0
11750;12400;11400;12050;51644300;36010745;0
12050;12150;11700;11800;16419600;34798565;0
11800;12000;11500;12000;16242400;34025870;0
11650;12100;11550;11650;23157200;28410685;0
11750;11900;11550;11700;10330300;21180140;0
11900;12500;11800;12500;32839300;22695525;0
12700;13050;12350;12500;23327600;23795590;0
12300;12950;12250;12700;15028900;24519025;0
12750;13200;12550;13100;28741500;25907905;0
12700;13200;12600;12750;31292100;27450490;0
12900;13000;12750;12800;11619800;27962750;0
12800;12850;11950;12100;34875900;27561470;0
12350;12600;12250;12500;16876300;25283565;0
12450;12750;12300;12500;14195600;24649870;0
12450;13050;12450;12900;20251100;24375025;0
12750;13000;12550;12900;17746400;22998950;0
12900;13200;12750;13000;25571800;23389410;0
13100;13100;12900;13000;16732500;23070755;0
12900;13500;12800;13200;29803500;23289125;0
13050;13400;12750;13000;25769800;23123295;0
13000;13100;12550;12750;16831500;21382655;0
13000;13200;12900;12950;16539600;21388655;0
12850;12950;12500;12550;18227200;21487895;0
12550;12650;12100;12200;15605200;21110295;0
12350;12750;12200;12550;18356900;21511625;0
12650;13050;12600;12800;15301800;20634750;0
12900;13650;12850;13650;41547400;21545740;0
13800;14500;13650;14000;42757700;22932180;0
14050;14950;13900;14950;34708000;23230505;0
14900;15300;14500;14500;35368400;23434320;0
14400;14800;14300;14500;22765700;23991615;0
14500;14750;14200;14300;26227400;23559190;0
14300;14900;14300;14600;14680000;23449375;0
13600;13600;13600;13600;5256300;23002410;0
12650;12650;12650;12650;3248200;22152265;0
11800;11800;11800;11800;1765900;21353240;0
11000;11000;11000;11000;1900600;20169680;0
10250;11450;10250;10850;100389400;24352525;0
11600;11600;11300;11600;12997800;23512240;0
12350;12400;11350;11350;39370900;24192295;0
10600;11000;10600;10600;53225500;26011995;0
10600;10850;10100;10450;15099100;25939970;0
10250;10600;9720;9720;20890100;26073115;0
9040;9500;9040;9040;10269100;25806310;0
8410;8990;8410;8800;28422600;26309595;0
8930;9250;8870;8870;14873500;26288180;0
8250;8500;8250;8250;18665800;25144100;0
7680;7800;7680;7680;8064500;23409440;0
7150;7400;7150;7150;11829600;22265520;0
6650;6650;6650;6650;3425800;20668390;0
6190;6190;6190;6190;2311100;19645660;0
5760;6620;5760;6620;40578900;20363235;0
6850;7050;6500;6810;17097600;20484115;0
6810;7280;6700;7280;13263200;20884460;0
7280;7780;7010;7780;17725500;21608325;0
7900;8320;7830;8250;18449000;22442480;0
8290;8820;8290;8820;18600200;23277460;0
8210;8210;8210;8210;7645700;18640275;0
